"# Tm","Pos","Player","Age","Tm","Pts Won","Pts Max","Share","1st Tm","2nd Tm","3rd Tm","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","avg_PTS","avg_AST","avg_TRB","avg_STL","avg_BLK","avg_WS","norm_PTS","norm_AST","norm_TRB","norm_STL","norm_BLK","norm_WS","MVP_index","Year"
"1st","F","Anthony Davis",21,"NOP",625,645,0.969,119,NA,NA,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.34101876675603,0.545015105740181,1.41570751523358,1.23246492985972,3.33988764044944,1.59621802002225,2.25966362868252,2015
"1st","C","Marc Gasol",30,"MEM",453,645,0.702,65,NA,NA,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.956300268096515,0.941389728096677,1.08259986459039,0.739478957915832,1.84269662921348,1.16295884315907,1.70369899783577,2015
"2nd","G","Russell Westbrook",26,"OKC",397,645,0.616,10,NA,NA,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.54436997319035,2.13051359516616,1.01320243737305,1.72545090180361,0.230337078651685,1.20856507230256,2.398288545578,2015
"2nd","F","LaMarcus Aldridge",29,"POR",390,645,0.605,13,NA,NA,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.28605898123324,0.421148036253776,1.41570751523358,0.575150300601202,1.15168539325843,0.980533926585094,1.80782473123216,2015
"2nd","G","Chris Paul",29,"LAC",335,645,0.519,1,NA,NA,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.04973190348525,2.52688821752266,0.638456330399458,1.56112224448898,0.230337078651685,1.83565072302558,2.08561520053664,2015
"2nd","F","Pau Gasol",34,"CHI",242,645,0.375,15,NA,NA,78,34.4,18.5,11.8,2.7,0.3,1.9,0.494,0.462,0.803,10.4,0.187,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.01675603217158,0.668882175226586,1.63777928232905,0.246492985971944,2.18820224719101,1.18576195773081,1.81140400710209,2015
"2nd","C","DeMarcus Cousins",24,"SAC",220,645,0.341,18,NA,NA,59,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,6,0.144,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.3245308310992,0.891842900302115,1.76269465132024,1.23246492985972,1.95786516853933,0.684093437152391,2.14490607819771,2015
"3rd","F","Blake Griffin",25,"LAC",189,645,0.293,2,NA,NA,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.20361930294906,1.31299093655589,1.05484089370345,0.739478957915832,0.575842696629214,1.02614015572859,1.84030658873788,2015
"3rd","C","DeAndre Jordan",26,"LAC",175,645,0.271,12,NA,NA,82,34.4,11.5,15,0.7,1,2.2,0.71,0.25,0.397,12.8,0.217,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.632037533512064,0.173413897280967,2.08192281651997,0.821643286573146,2.53370786516854,1.45939933259177,1.62390922032282,2015
"3rd","F","Tim Duncan",38,"SAS",167,645,0.259,6,NA,NA,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.763941018766756,0.743202416918429,1.26303317535545,0.657314629258517,2.30337078651685,1.09454949944383,1.57296267957599,2015
"3rd","G","Klay Thompson",24,"GSW",122,645,0.189,0,NA,NA,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.1926273458445,0.718429003021148,0.444143534190928,0.903807615230461,0.921348314606742,1.00333704115684,1.57776116013587,2015
"3rd","G","Kyrie Irving",22,"CLE",112,645,0.174,0,NA,NA,75,36.4,21.7,3.2,5.2,1.5,0.3,0.468,0.415,0.863,10.4,0.183,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.1926273458445,1.28821752265861,0.444143534190928,1.23246492985972,0.345505617977528,1.18576195773081,1.72285348933133,2015
"ORV","F","Kawhi Leonard",23,"SAS",155,645,0.24,0,NA,NA,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.906836461126005,0.619335347432024,0.999322951929587,1.88977955911824,0.921348314606742,0.980533926585094,1.55832662010147,2015
"ORV","F","Paul Millsap",29,"ATL",70,645,0.109,0,NA,NA,73,32.7,16.7,7.8,3.1,1.8,0.9,0.476,0.356,0.757,8.3,0.166,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.917828418230563,0.76797583081571,1.08259986459039,1.47895791583166,1.03651685393258,0.946329254727475,1.59040352362152,2015
"ORV","C","Al Horford",28,"ATL",64,645,0.099,1,NA,NA,76,30.5,15.2,7.2,3.2,0.9,1.3,0.538,0.306,0.759,8.7,0.179,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.835388739946381,0.792749244712991,0.999322951929587,0.739478957915832,1.49719101123596,0.991935483870968,1.48878636061357,2015
"ORV","G","John Wall",24,"WAS",50,645,0.078,0,NA,NA,79,35.9,17.6,4.6,10,1.7,0.6,0.445,0.3,0.785,7.8,0.132,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.967292225201072,2.4773413897281,0.638456330399458,1.39679358717435,0.691011235955056,0.889321468298109,1.8949619127504,2015
"ORV","G","Jimmy Butler",25,"CHI",32,645,0.05,0,NA,NA,65,38.7,20,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.09919571045576,0.817522658610272,0.805010155721056,1.47895791583166,0.691011235955056,1.2769744160178,1.69353284952879,2015
"ORV","G","Damian Lillard",24,"POR",22,645,0.034,0,NA,NA,82,35.7,21,4.6,6.2,1.2,0.3,0.434,0.343,0.864,10.6,0.174,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.15415549597855,1.53595166163142,0.638456330399458,0.985971943887776,0.345505617977528,1.20856507230256,1.78135891182248,2015
"ORV","F","Draymond Green",24,"GSW",9,645,0.014,0,NA,NA,79,31.5,11.7,8.2,3.7,1.6,1.3,0.443,0.337,0.66,8.5,0.163,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.643029490616622,0.916616314199396,1.13811780636425,1.31462925851703,1.49719101123596,0.969132369299221,1.45465900500439,2015
"ORV","F","Zach Randolph",33,"MEM",7,645,0.011,0,NA,NA,71,32.5,16.1,10.5,2.2,1,0.2,0.487,0.35,0.765,7.2,0.149,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.88485254691689,0.545015105740181,1.45734597156398,0.821643286573146,0.230337078651685,0.82091212458287,1.43680716206947,2015
"ORV","G","Jeff Teague",26,"ATL",7,645,0.011,0,NA,NA,73,30.5,15.9,2.5,7,1.7,0.4,0.46,0.343,0.862,7.7,0.166,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.873860589812332,1.73413897280967,0.346987136086662,1.39679358717435,0.460674157303371,0.877919911012236,1.53680476017356,2015
"ORV","C","Andrew Bogut",30,"GSW",6,645,0.009,0,NA,NA,67,23.6,6.3,8.1,2.7,0.6,1.7,0.563,NA,0.524,5.2,0.159,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.346246648793566,0.668882175226586,1.12423832092079,0.492985971943888,1.95786516853933,0.592880978865406,1.05929470394983,2015
"ORV","C","Nikola Vučević",24,"ORL",6,645,0.009,0,NA,NA,74,34.2,19.3,10.9,2,0.7,0.7,0.523,0.333,0.752,7,0.133,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.06072386058981,0.495468277945619,1.51286391333785,0.575150300601202,0.806179775280899,0.798109010011123,1.6085114953826,2015
"ORV","G","DeMar DeRozan",25,"TOR",3,645,0.005,0,NA,NA,60,35,20.1,4.6,3.5,1.2,0.2,0.413,0.284,0.832,4,0.09,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.10469168900804,0.867069486404834,0.638456330399458,0.985971943887776,0.230337078651685,0.456062291434928,1.45017505137669,2015
"ORV","F","Rudy Gay",28,"SAC",3,645,0.005,0,NA,NA,68,35.4,21.1,5.9,3.7,1,0.6,0.455,0.359,0.858,6.1,0.122,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.15965147453083,0.916616314199396,0.818889641164523,0.821643286573146,0.691011235955056,0.695494994438265,1.6171873698842,2015
"ORV","C","Andre Drummond",21,"DET",2,645,0.003,0,NA,NA,82,30.5,13.8,13.5,0.7,0.9,1.9,0.514,0,0.389,7.7,0.147,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.758445040214477,0.173413897280967,1.87373053486798,0.739478957915832,2.18820224719101,0.877919911012236,1.54299824737134,2015
"ORV","F","Gordon Hayward",24,"UTA",2,645,0.003,0,NA,NA,76,34.4,19.3,4.9,4.1,1.4,0.4,0.445,0.364,0.812,8.7,0.159,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.06072386058981,1.01570996978852,0.680094786729858,1.1503006012024,0.460674157303371,0.991935483870968,1.58241807603267,2015
"ORV","F","Kyle Korver",33,"ATL",2,645,0.003,0,NA,NA,75,32.2,12.1,4.1,2.6,0.7,0.6,0.487,0.492,0.898,7.5,0.148,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.665013404825737,0.644108761329305,0.569058903182126,0.575150300601202,0.691011235955056,0.855116796440489,1.09018631311015,2015
"ORV","C","Joakim Noah",29,"CHI",2,645,0.003,0,NA,NA,67,30.6,7.2,9.6,4.7,0.7,1.1,0.445,0,0.603,5.6,0.13,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.395710455764075,1.16435045317221,1.33243060257278,0.575150300601202,1.26685393258427,0.638487208008899,1.22073713306739,2015
"ORV","F","Dirk Nowitzki",36,"DAL",2,645,0.003,0,NA,NA,77,29.6,17.3,5.9,1.9,0.5,0.4,0.459,0.38,0.882,7.2,0.152,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.950804289544236,0.470694864048338,0.818889641164523,0.410821643286573,0.460674157303371,0.82091212458287,1.29332595668503,2015
"ORV","G","Dwyane Wade",33,"MIA",2,645,0.003,0,NA,NA,62,31.8,21.5,3.5,4.8,1.2,0.3,0.47,0.284,0.768,3.5,0.086,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.18163538873995,1.18912386706949,0.485781990521327,0.985971943887776,0.345505617977528,0.399054505005562,1.55704070732703,2015
"ORV","F","Carmelo Anthony",30,"NYK",1,645,0.002,0,NA,NA,40,35.7,24.2,6.6,3.1,1,0.4,0.444,0.341,0.797,2.9,0.097,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,1.33002680965147,0.76797583081571,0.916046039268788,0.821643286573146,0.460674157303371,0.330645161290323,1.6628554338235,2015
"ORV","C","Tyson Chandler",32,"DAL",1,645,0.002,0,NA,NA,75,30.5,10.3,11.5,1.1,0.6,1.2,0.666,NA,0.72,10.3,0.216,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.566085790884719,0.272507552870091,1.59614082599865,0.492985971943888,1.38202247191011,1.17436040044494,1.2836856318771,2015
"ORV","G","Mike Conley",27,"MEM",1,645,0.002,0,NA,NA,70,31.8,15.8,3,5.4,1.3,0.2,0.446,0.386,0.859,6.8,0.147,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.868364611260054,1.33776435045317,0.416384563303995,1.06813627254509,0.230337078651685,0.775305895439377,1.37937213688292,2015
"ORV","C","Brook Lopez",26,"BRK",1,645,0.002,0,NA,NA,72,29.2,17.2,7.4,0.7,0.6,1.8,0.513,0.1,0.814,7,0.159,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.945308310991957,0.173413897280967,1.02708192281652,0.492985971943888,2.07303370786517,0.798109010011123,1.43268892330051,2015
"ORV","F","Kevin Love",26,"CLE",1,645,0.002,0,NA,NA,75,33.8,16.4,9.7,2.2,0.7,0.5,0.434,0.367,0.804,8.7,0.165,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.901340482573726,0.545015105740181,1.34631008801625,0.575150300601202,0.575842696629214,0.991935483870968,1.45779330680178,2015
"ORV","G","Kyle Lowry",28,"TOR",1,645,0.002,0,NA,NA,70,34.5,17.8,4.7,6.8,1.6,0.2,0.412,0.338,0.808,7.1,0.141,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.97828418230563,1.68459214501511,0.652335815842925,1.31462925851703,0.230337078651685,0.809510567296997,1.64278255487043,2015
"ORV","G","Khris Middleton",23,"MIL",1,645,0.002,0,NA,NA,79,30.1,13.4,4.4,2.3,1.5,0.1,0.467,0.407,0.859,6.7,0.135,18.1951219512195,4.03658536585366,7.20487804878049,1.21707317073171,0.868292682926829,8.77073170731707,0.736461126005362,0.569788519637462,0.610697359512525,1.23246492985972,0.115168539325843,0.763904338153504,1.13363936823337,2015
"1st","G","Stephen Curry",27,"GSW",645,645,1,129,0,0,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.53170127905378,1.549375,0.722865412445731,1.72283813747228,0.194225721784777,1.95368731563422,2.27818060962529,2016
"1st","F","LeBron James",31,"CLE",637,645,0.988,125,4,0,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.2874432677761,1.5725,0.990593342981187,1.14855875831486,0.582677165354331,1.48436578171091,2.06650640958973,2016
"1st","G","Russell Westbrook",27,"OKC",627,645,0.972,120,9,0,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.19584651354697,2.405,1.04413892908828,1.64079822616408,0.291338582677165,1.52802359882006,2.24137916381678,2016
"1st","F","Kawhi Leonard",24,"SAS",575,645,0.891,94,35,0,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.07880621647641,0.60125,0.91027496382055,1.47671840354767,0.971128608923885,1.4952802359882,1.71000295078165,2016
"1st","C","DeAndre Jordan",27,"LAC",317,645,0.491,39,36,14,77,33.7,12.7,13.8,1.2,0.7,2.3,0.703,0,0.43,11.5,0.213,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.646265988172191,0.2775,1.84732272069465,0.574279379157428,2.23359580052493,1.25516224188791,1.51728032496284,2016
"2nd","F","Kevin Durant",27,"OKC",452,645,0.701,36,90,2,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.43501581625636,1.15625,1.09768451519537,0.82039911308204,1.16535433070866,1.58259587020649,2.14746100671397,2016
"2nd","F","Draymond Green",25,"GSW",431,645,0.668,40,74,9,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.712419199559896,1.71125,1.27170767004342,1.23059866962306,1.35958005249344,1.21150442477876,1.75641831308723,2016
"2nd","G","Chris Paul",30,"LAC",353,645,0.547,8,101,10,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.992298170815569,2.3125,0.562228654124457,1.72283813747228,0.194225721784777,1.38613569321534,1.91214744009158,2016
"2nd","C","DeMarcus Cousins",25,"SAC",277,645,0.429,32,28,33,65,34.6,26.9,11.5,3.3,1.6,1.4,0.451,0.333,0.718,5.7,0.122,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.36886260486866,0.763125,1.53943560057887,1.31263858093126,1.35958005249344,0.62212389380531,2.03127068145291,2016
"2nd","G","Damian Lillard",25,"POR",217,645,0.336,0,48,73,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.27726585063953,1.5725,0.535455861070912,0.738359201773836,0.388451443569554,1.00412979351032,1.81210217934024,2016
"3rd","C","Andre Drummond",22,"DET",173,645,0.268,13,26,30,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.824370788062165,0.185,1.98118668596237,1.23059866962306,1.35958005249344,0.807669616519174,1.58121161662985,2016
"3rd","G","Klay Thompson",25,"GSW",164,645,0.254,0,37,53,80,33.3,22.1,3.8,2.1,0.8,0.6,0.47,0.425,0.873,8,0.144,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.12460459359098,0.485625,0.508683068017366,0.656319290465632,0.582677165354331,0.873156342182891,1.40313378878655,2016
"3rd","F","Paul George",25,"IND",157,645,0.243,0,28,73,81,34.8,23.1,7,4.1,1.9,0.4,0.418,0.371,0.86,9.2,0.157,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.17549167927383,0.948125,0.937047756874095,1.55875831485588,0.388451443569554,1.00412979351032,1.75702697750668,2016
"3rd","G","Kyle Lowry",29,"TOR",155,645,0.24,0,35,50,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.07880621647641,1.48,0.629160636758321,1.72283813747228,0.388451443569554,1.26607669616519,1.79137559489967,2016
"3rd","F","LaMarcus Aldridge",30,"SAS",103,645,0.16,3,11,55,74,30.6,18,8.5,1.5,0.5,1.1,0.513,0,0.858,10.1,0.215,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.915967542291294,0.346875,1.13784370477569,0.41019955654102,1.06824146981627,1.1023598820059,1.41715179496357,2016
"ORV","G","James Harden",26,"HOU",106,645,0.164,0,NA,NA,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.47572548480264,1.734375,0.81657018813314,1.39467849223947,0.582677165354331,1.45162241887906,2.23379561346664,2016
"ORV","F","Paul Millsap",30,"ATL",84,645,0.13,0,NA,NA,81,32.7,17.1,9,3.3,1.8,1.7,0.47,0.319,0.757,10.1,0.183,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.870169165176729,0.763125,1.20477568740955,1.47671840354767,1.6509186351706,1.1023598820059,1.66622819016648,2016
"ORV","C","Al Horford",29,"ATL",76,645,0.118,2,NA,NA,82,32.1,15.2,7.3,3.2,0.8,1.5,0.505,0.344,0.798,9.4,0.172,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.773483702379315,0.74,0.977206946454414,0.656319290465632,1.45669291338583,1.0259587020649,1.41328372421194,2016
"ORV","C","Anthony Davis",22,"NOP",76,645,0.118,1,NA,NA,61,35.5,24.3,10.3,1.9,1.3,2,0.493,0.324,0.758,7.2,0.16,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.23655618209325,0.439375,1.3787988422576,1.06651884700665,1.94225721784777,0.785840707964602,1.86254211891913,2016
"ORV","C","Karl-Anthony Towns",20,"MIN",44,645,0.068,0,NA,NA,82,32,18.3,10.5,2,0.7,1.7,0.542,0.341,0.811,8.3,0.151,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.931233667996149,0.4625,1.40557163531114,0.574279379157428,1.6509186351706,0.905899705014749,1.57040960040972,2016
"ORV","G","DeMar DeRozan",26,"TOR",26,645,0.04,0,NA,NA,78,35.9,23.5,4.5,4,1,0.3,0.446,0.338,0.85,9.9,0.169,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.19584651354697,0.925,0.602387843704776,0.82039911308204,0.291338582677165,1.08053097345133,1.61177758735739,2016
"ORV","C","Hassan Whiteside",26,"MIA",24,645,0.037,1,NA,NA,73,29.1,14.2,11.8,0.4,0.6,3.7,0.606,NA,0.65,10.3,0.233,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.722596616696465,0.0925,1.57959479015919,0.492239467849224,3.59317585301837,1.12418879056047,1.5732708415678,2016
"ORV","G","Isaiah Thomas",26,"BOS",20,645,0.031,0,NA,NA,82,32.2,22.2,3,6.2,1.1,0.1,0.428,0.359,0.871,9.7,0.177,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.12969330215926,1.43375,0.401591895803184,0.902439024390244,0.0971128608923885,1.05870206489676,1.62135061394098,2016
"ORV","F","Pau Gasol",35,"CHI",16,645,0.025,2,NA,NA,72,31.8,16.5,11,4.1,0.6,2,0.469,0.348,0.792,7.1,0.149,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.83963691376702,0.948125,1.47250361794501,0.492239467849224,1.94225721784777,0.774926253687316,1.63655529212266,2016
"ORV","G","Jimmy Butler",26,"CHI",12,645,0.019,0,NA,NA,67,36.9,20.9,5.3,4.8,1.6,0.6,0.454,0.312,0.832,9.1,0.177,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.06354009077156,1.11,0.709479015918958,1.31263858093126,0.582677165354331,0.993215339233038,1.6442157021105,2016
"ORV","F","Dirk Nowitzki",37,"DAL",8,645,0.012,0,NA,NA,75,31.5,18.3,6.5,1.8,0.7,0.7,0.448,0.368,0.893,6.8,0.138,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.931233667996149,0.41625,0.870115774240232,0.574279379157428,0.679790026246719,0.742182890855457,1.30331275212571,2016
"ORV","G","John Wall",25,"WAS",7,645,0.011,0,NA,NA,77,36.2,19.9,4.9,10.2,1.9,0.8,0.424,0.351,0.791,5.7,0.098,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.01265300508871,2.35875,0.655933429811867,1.55875831485588,0.776902887139108,0.62212389380531,1.89067796579423,2016
"ORV","G","Kemba Walker",25,"CHO",6,645,0.009,0,NA,NA,81,35.6,20.9,4.4,5.2,1.6,0.5,0.427,0.371,0.847,9.9,0.165,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.06354009077156,1.2025,0.589001447178003,1.31263858093126,0.485564304461942,1.08053097345133,1.64060736896877,2016
"ORV","F","Tim Duncan",39,"SAS",3,645,0.005,0,NA,NA,61,25.2,8.6,7.3,2.7,0.8,1.3,0.488,0,0.702,5.2,0.163,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.437628936872507,0.624375,0.977206946454414,0.656319290465632,1.26246719160105,0.567551622418879,1.02751002768111,2016
"ORV","F","Gordon Hayward",25,"UTA",3,645,0.005,0,NA,NA,80,36.2,19.7,5,3.7,1.2,0.3,0.433,0.349,0.824,8.9,0.147,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.00247558795214,0.855625,0.66931982633864,0.984478935698448,0.291338582677165,0.971386430678466,1.4565063933857,2016
"ORV","C","Dwight Howard",30,"HOU",3,645,0.005,0,NA,NA,71,32.1,13.7,11.8,1.4,1,1.6,0.62,0,0.489,6.6,0.138,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.697153073855041,0.32375,1.57959479015919,0.82039911308204,1.55380577427822,0.720353982300885,1.37903224270499,2016
"ORV","F","Carmelo Anthony",31,"NYK",2,645,0.003,0,0,2,72,35.1,21.8,7.7,4.2,0.9,0.5,0.434,0.339,0.829,6.4,0.121,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.10933846788612,0.97125,1.03075253256151,0.738359201773836,0.485564304461942,0.698525073746313,1.6151425191348,2016
"ORV","C","Marc Gasol",31,"MEM",2,645,0.003,0,0,2,52,34.4,16.6,7,3.8,1,1.3,0.464,0.667,0.829,3.7,0.098,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.844725622335305,0.87875,0.937047756874095,0.82039911308204,1.26246719160105,0.403834808259587,1.39859178879401,2016
"ORV","C","Andrew Bogut",31,"GSW",1,645,0.002,0,0,1,70,20.7,5.4,7,2.3,0.5,1.6,0.627,1,0.48,5.4,0.18,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,0.274790262687388,0.531875,0.937047756874095,0.41019955654102,1.55380577427822,0.589380530973451,0.871870512096376,2016
"ORV","F","Blake Griffin",26,"LAC",1,645,0.002,0,0,1,35,33.4,21.4,8.4,4.9,0.8,0.5,0.499,0.333,0.727,3.8,0.156,19.6513513513514,4.32432432432432,7.47027027027027,1.21891891891892,1.02972972972973,9.16216216216216,1.08898363361298,1.133125,1.12445730824891,0.656319290465632,0.485564304461942,0.414749262536873,1.6119832328259,2016
